strategy,entryPoint,confidence,reason,exitPoint,attempts,status,start_index
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~3 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~3 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~3 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~3 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~3 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~3 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~3 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~3 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~3 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~3 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~3 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~3 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~3 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~3 rondas,1.7,1,ganada,999
MINUTE_BASED_25,1.7,92,Minuto 25 con 8 bajos,1.7,1,ganada,999
DOUBLE_LOW_RECOVERY,1.68,88,2 secuencias dobles bajos detectadas,1.7,1,ganada,999
DOUBLE_LOW_RECOVERY,1.68,88,2 secuencias dobles bajos detectadas,1.7,1,ganada,999
DOUBLE_LOW_RECOVERY,1.68,88,2 secuencias dobles bajos detectadas,1.7,1,ganada,999
MINUTE_BASED_29,1.7,92,Minuto 29 con 6 bajos,1.7,1,ganada,999
DOUBLE_LOW_RECOVERY,1.68,88,3 secuencias dobles bajos detectadas,1.7,1,ganada,999
DOUBLE_LOW_RECOVERY,1.68,88,3 secuencias dobles bajos detectadas,1.7,1,ganada,999
DOUBLE_LOW_RECOVERY,1.68,88,3 secuencias dobles bajos detectadas,1.7,1,ganada,999
DOUBLE_LOW_RECOVERY,1.68,88,3 secuencias dobles bajos detectadas,1.7,1,ganada,999
DOUBLE_LOW_RECOVERY,1.68,88,3 secuencias dobles bajos detectadas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~2 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~3 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~2 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~2 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~2 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~2 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~2 rondas,1.7,1,ganada,999
MINUTE_BASED_33,1.7,92,Minuto 33 con 6 bajos,1.7,1,ganada,999
DOUBLE_LOW_RECOVERY,1.68,88,2 secuencias dobles bajos detectadas,1.7,1,ganada,999
MINUTE_BASED_43,1.7,92,Minuto 43 con 6 bajos,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~3 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~3 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~3 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~3 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~3 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~3 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~2 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~2 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~2 rondas,1.7,1,ganada,999
DOUBLE_LOW_RECOVERY,1.68,88,2 secuencias dobles bajos detectadas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~3 rondas,1.7,1,ganada,999
DOUBLE_LOW_RECOVERY,1.68,88,2 secuencias dobles bajos detectadas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~3 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~3 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~3 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~3 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~3 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~2 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~2 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~2 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~2 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~2 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~2 rondas,1.7,1,ganada,999
MINUTE_BASED_31,1.7,92,Minuto 31 con 7 bajos,1.7,1,ganada,999
MINUTE_BASED_31,1.7,92,Minuto 31 con 6 bajos,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~2 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~2 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~2 rondas,1.7,1,ganada,999
DOUBLE_LOW_RECOVERY,1.68,88,3 secuencias dobles bajos detectadas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~2 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~2 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~2 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~2 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~2 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~2 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~2 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~3 rondas,1.7,1,ganada,999
MINUTE_BASED_29,1.7,92,Minuto 29 con 6 bajos,1.7,1,ganada,999
DOUBLE_LOW_RECOVERY,1.68,88,2 secuencias dobles bajos detectadas,1.7,1,ganada,999
MINUTE_BASED_41,1.7,92,Minuto 41 con 6 bajos,1.7,1,ganada,999
MINUTE_BASED_41,1.7,92,Minuto 41 con 6 bajos,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~3 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~3 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~3 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~3 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~3 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~2 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~2 rondas,1.7,1,ganada,999
MINUTE_BASED_53,1.7,92,Minuto 53 con 7 bajos,1.7,1,ganada,999
LOW_SEQ_1.5,1.65,88,6 bajos <1.5 en últimas 10,1.7,1,ganada,999
LOW_SEQ_1.5,1.65,88,6 bajos <1.5 en últimas 10,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~3 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~3 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~3 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~3 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~3 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~3 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~2 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~2 rondas,1.7,1,ganada,999
DOUBLE_LOW_RECOVERY,1.68,88,2 secuencias dobles bajos detectadas,1.7,1,ganada,999
DOUBLE_LOW_RECOVERY,1.68,88,3 secuencias dobles bajos detectadas,1.7,1,ganada,999
MINUTE_BASED_31,1.7,92,Minuto 31 con 6 bajos,1.7,1,ganada,999
MINUTE_BASED_33,1.7,92,Minuto 33 con 7 bajos,1.7,1,ganada,999
MINUTE_BASED_33,1.7,92,Minuto 33 con 7 bajos,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~2 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~2 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~2 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~2 rondas,1.7,1,ganada,999
PERFECT_CYCLE,1.65,94,Ciclo perfecto cada ~2 rondas,1.7,1,ganada,999
